127.0.0.1 - - [31/Aug/2022:09:41:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:41:03 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:41:03 +0900] "GET /WebProject/image/03.png HTTP/1.1" 200 38019
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:41:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:41:04 +0900] "GET /WebProject/day0830_ajax/munje1.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:42:16 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:45:11 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:45:11 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:45:11 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:45:11 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:45:12 +0900] "GET /WebProject/day0830_ajax/munje1.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:52:14 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:52:53 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:52:55 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [31/Aug/2022:09:52:58 +0900] "GET /WebProject/day0830_ajax/munje1.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:13:16 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:13:40 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:13:41 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:13:53 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:14:01 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:14:16 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:14:18 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:14:21 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:16:52 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:16:52 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:16:52 +0900] "GET /WebProject/day0831_ajax/data5.xml HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:17:08 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:05 +0900] "GET /WebProject/day0831_ajax/ex1_dataread.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [31/Aug/2022:10:19:05 +0900] "GET /WebProject/day0831_ajax/data5.xml HTTP/1.1" 304 -
